,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Kills,1,2,3,4,5,6,7,8,9,10,11,12,13,Team,YouTube
#N/A,Jiutesto,0,,,,,,,,,,,,,,Nose to Order,https://www.youtube.com/user/BlackLink
#N/A,Sen-Long,0,,,,,,,,,,,,,,PrekaKnight,https://www.youtube.com/user/Present
#N/A,Noctuh,0,,,,,,,,,,,,,,PrekaKnight,https://www.youtube.com/user/Present
#N/A,Piepi,0,,,,,,,,,,,,,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
#N/A,Tortunator,0,,,,,,,,,,,,,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
#N/A,Britzigel,0,,,,,,,,,,,,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
#N/A,Viscargot,0,,,,,,,,,,,,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
#N/A,Skuntank,0,,,,,,,,,,,,,,Therapiepi,https://www.youtube.com/user/PokéBazi
#N/A,Sedimantur,0,,,,,,,,,,,,,,Therapiepi,https://www.youtube.com/user/PokéBazi
#N/A,Furnifraß,0,,,,,,,,,,,,,,Therapiepi,https://www.youtube.com/user/PokéBazi
