season_id,division,roster_phase,team_name,team_name_normalized,person_name,person_name_normalized,pokemon,pokemon_normalized,slot,source_table,source_file,source_urls,data_status,notes
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Despotar,despotar,3,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Grandiras,grandiras,4,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Stalobor,stalobor,5,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Milotic,milotic,6,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Panzaeron,panzaeron,7,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Curelei,curelei,8,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Affiti,affiti,9,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Toxiquak,toxiquak,10,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Traunfugil,traunfugil,11,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Katapuldra,katapuldra,1,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Lumiflora,lumiflora,2,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Impoleon,impoleon,3,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Pamomamo,pamomamo,4,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Cresselia,cresselia,5,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Lavados,lavados,6,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Irokex,irokex,7,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Guardevoir,guardevoir,8,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Pampross,pampross,9,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Ursaring,ursaring,10,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Böller Brüder,boeller brueder,Nestfloh,nestfloh,Arktilas,arktilas,11,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
