season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,channel_url,aliases,data_status,source_urls
season_003,person_oktopaul,Oktopaul,oktopaul,,,,Liga 1,https://www.youtube.com/user/oktopaul,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_raizor,Raizor,raizor,,,,Liga 1,https://www.youtube.com/user/RaizorZockt,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_present,PresentLP,present,,,,Liga 1,https://www.youtube.com/user/PresentLP,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_regibang,RegiBang,regibang,,,,Liga 1,https://www.youtube.com/user/RegiBang,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_surskittv,SurskitTV,surskittv,,,,Liga 1,https://www.youtube.com/user/SurskitTV,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,,,,Liga 1,https://www.youtube.com/user/FanmadeLetsPlay,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_parsifani,Parsifani,parsifani,,,,Liga 1,https://www.youtube.com/channel/UCuT0A2DXUVJASJs1HwC5EjA,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_pokebazi,PokeBazi,pokebazi,,,,Liga 1,https://www.youtube.com/channel/UCkEEHak-dPeI11YkalQczRQ,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_lucariolp,LucarioLP,lucariolp,,,,Liga 1,https://www.youtube.com/user/LetsPlayLucario,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
season_003,person_minetube,Minetube,minetube,,,,Liga 1,https://www.youtube.com/user/Minetube13,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
