season_id,division,week,person_id,person_name,p_first,p_playoffs,sims,seed,source_urls
season_001,Regular Season,9,person_raizor,Raizor,0.0020,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,9,person_shiro,Shiro,0.0060,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,9,person_silva,Silva,0.0610,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,9,person_surskittv,SurskitTV,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_art_n_gaming,Art'n'Gaming,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_daumenkino,DaumenkinoLP,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_diaswordplay,DiaSwordPlay,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_dirtyd64,DirtyD64,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_fanmadeletsplay,FanmadeLetsPlay,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_fnupa,Cabgolord,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_morbolth,Morbolth,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_pokemonfakten,PokemonFakten,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_present,PresentLP,0.9260,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_raizor,Raizor,0.0040,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,10,person_shiro,Shiro,0.0010,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
