season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,stage,rank,start_week,end_week,matches,wins,losses,draws,points,kills,deaths,differential,data_status,notes,source_urls
season_002,person_present,PresentLP,present,season_002_prekani,Prekani,prekani,Regular Season,full_season,7,,,26,13,12,1,40,120,112,8,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_regibang,RegiBang,regibang,season_002_lucha_libres,Lucha Libres,lucha libres,Regular Season,full_season,8,,,26,13,13,0,36,120,113,7,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_002_croakdrop,CroakDrop,croakdrop,Regular Season,full_season,9,,,26,13,13,0,36,114,117,-3,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_raizor,Raizor,raizor,season_002_raizoroark,Raizoroark,raizoroark,Regular Season,full_season,10,,,26,12,14,0,36,109,121,-12,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_scherany,Scherany,scherany,season_002_fabulous_gayloppaz,Fabulous Gayloppaz,fabulous gayloppaz,Regular Season,full_season,11,,,26,10,16,0,30,106,135,-29,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_dirtyd64,DirtyD64,dirtyd64,season_002_magic_manaphys,Magic Manaphys,magic manaphys,Regular Season,full_season,12,,,26,8,18,0,21,98,133,-35,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_kuchenjaeger,Kuchenjaeger,kuchenjaeger,season_002_stunfiskunderdogs,StunfiskUnderdogs,stunfiskunderdogs,Regular Season,full_season,13,,,26,7,19,0,21,94,136,-42,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_fnupa,Cabgolord,fnupa,season_002_doomforce,Doomforce,doomforce,Regular Season,full_season,14,,,26,5,21,0,15,74,137,-63,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_parsifani,Parsifani,parsifani,season_002_duelling_luca_ri_oh,Duelling Luca-Ri-Oh,duelling luca ri oh,Liga 2,full_season,1,,,26,19,5,2,59,140,105,35,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pokebazi,PokeBazi,pokebazi,season_002_psychic_bazis,Psychic Bazis,psychic bazis,Liga 2,full_season,2,,,26,19,6,1,55,137,111,26,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_lucariolp,LucarioLP,lucariolp,season_002_wildcats,Wildcats,wildcats,Liga 2,full_season,3,,,26,18,8,0,54,134,90,44,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
