season_id,division,stage,is_primary,rank,person_id,player_name,player_name_normalized,team_id,team_name,wins,losses,draws,points,kills,deaths,differential,data_status,source_urls
season_002,Liga 2,final_table,true,13,person_wolvx,WolvX,wolvx,season_002_the_gymleader,The Gymleader,6,20,0,18,88,134,-46,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,14,person_zant,Zant,zant,season_002_typhlosion_burning_squad,Typhlosion burning Squad,3,23,0,6,69,150,-81,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_003,Regular Season,final_table,true,1,person_present,PresentLP,present,season_003_prekani,Prekani,19,7,0,57,145,104,41,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,2,person_regibang,RegiBang,regibang,season_003_glorious_emperors,Glorious Emperors,16,10,0,48,122,110,12,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,3,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_003_coldlauncher,Coldlauncher,15,11,0,45,120,114,6,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,4,person_minetube,Minetube,minetube,season_003_triyolotree,Triyolotree,14,12,0,42,124,110,14,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,5,person_bene,Bene,bene,season_003_unlimited_blade_works_1,Unlimited Blade Works*¹,13,13,0,39,126,121,5,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,6,person_captaincrinch,CaptainCrinch,captaincrinch,season_003_crinchilla,Crinchilla,13,13,0,39,125,123,2,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,7,person_pokebazi,PokeBazi,pokebazi,season_003_krebuknackis,Krebuknackis,13,13,0,39,119,125,-6,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,8,person_lauris,Lauris,lauris,season_003_enteigeddon_3_1,Enteigeddon*³ **¹,13,13,0,38,119,125,-6,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,9,person_raizor,Raizor,raizor,season_003_unbound_zoroarks,Unbound Zoroarks,12,14,0,36,110,120,-10,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,10,person_oktopaul,Oktopaul,oktopaul,season_003_petalburg_panchams,Petalburg Panchams,12,14,0,36,118,130,-12,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,11,person_art_n_gaming,Art'n'Gaming,art n gaming,season_003_little_littleos,Little Littleos,11,15,0,33,120,125,-5,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,12,person_shiro,Shiro,shiro,season_003_munich_magbys_2,Munich Magbys*²,11,15,0,33,112,133,-21,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,13,person_parsifani,Parsifani,parsifani,season_003_persian_carpets,Persian Carpets,10,16,0,30,118,125,-7,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,Regular Season,final_table,true,14,person_surskittv,SurskitTV,surskittv,season_003_surstars,Surstars,10,16,0,30,115,127,-13,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_004,Regular Season,final_table,true,1,person_bene,Bene,bene,season_004_ritter_der_tapukokosnuss,Ritter der Tapukokosnuss,19,3,0,57,127,63,64,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,2,person_present,PresentLP,present,season_004_prekani,Prekani,16,6,0,48,113,81,32,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,3,person_minetube,Minetube,minetube,season_004_triyolotree,Triyolotree,12,9,1,37,102,97,5,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,4,person_regibang,RegiBang,regibang,season_004_flexing_masskito,Flexing Masskito,12,10,0,36,104,93,11,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,5,person_lauris,Lauris,lauris,season_004_enteikutierung,Enteikutierung,11,11,0,33,98,95,3,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,6,person_melevies,MeLevies,melevies,season_004_shocking_shaymins,Shocking Shaymins,10,11,1,31,106,102,4,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,7,person_fnupa,Cabgolord,fnupa,season_004_slicing_knights,Slicing Knights,10,12,0,30,91,104,-13,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,Regular Season,final_table,true,8,person_surskittv,SurskitTV,surskittv,season_004_surstars,Surstars,9,12,1,28,89,101,-12,sheet_extracted,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
