sheet_id,status,workbook_title,source_url,seen_in_channels,sample_video_title,review_reason
146976uvhHtnQevPlfyFNC5G7EybcpE_90Kdnp9ddTqg,available,IDPL S6 Doc,https://docs.google.com/spreadsheets/d/146976uvhHtnQevPlfyFNC5G7EybcpE_90Kdnp9ddTqg/edit,ucarerejf2zazibztti4vmaw,Dieses GAME war WILD! - IDPL [S6] Spieltag 13 vs. Motteninvasion (Galva),sheet_url_in_video_description_never_fetched
11oiOkC_VmgwNgoYTNlNR64QfRnFTqDfymycQxtD4q6Q,available,IDPL Season 2,https://docs.google.com/spreadsheets/d/11oiOkC_VmgwNgoYTNlNR64QfRnFTqDfymycQxtD4q6Q/edit,uc48cbia653yo2bhiowagjwq;uc9iby6z6tyu7xyc5_cgjplg;ucj8y8nmqyyvuw8wooibgp0g;ucubgus9lvyrtb849adla1rw,IDPL [S2] - Spieltag 10 - vs Araquabois: Es wird giftig!,sheet_url_in_video_description_never_fetched
1DuZptunHRwstV0uAuKC8Cbi70X7RvNz1XiyrWvsDH7Y,available,IDPL Season 2 ,https://docs.google.com/spreadsheets/d/1DuZptunHRwstV0uAuKC8Cbi70X7RvNz1XiyrWvsDH7Y/edit,uc9iby6z6tyu7xyc5_cgjplg,Wir gehen mit einer EXPLOSION! :D | IDPL Season 2 Spieltag 10 gegen LittleRookies,sheet_url_in_video_description_never_fetched
1QaQE5XghtcdMrCfxiPaGyZOkazsxB90PD91pG0bcEQw,available,Indigo Plateau - Draft Liga - 2 - (IDL),https://docs.google.com/spreadsheets/d/1QaQE5XghtcdMrCfxiPaGyZOkazsxB90PD91pG0bcEQw/edit,ucubgus9lvyrtb849adla1rw,Indigo Draft League [IDL] - Season 02 - Spieltag 07 - vs Heartbreakinglers - Irrlicht,sheet_url_in_video_description_never_fetched
15QLbAod8uxT6GX2EDuxunSva3jrC8XldUvguPxqjUyA,available,IPL S2 - Erste Liga,https://docs.google.com/spreadsheets/d/15QLbAod8uxT6GX2EDuxunSva3jrC8XldUvguPxqjUyA/edit,uc14hk73g_dl8dqlthpmivwq;ucz2bgm4qej7nxsedsnr6f1a,Ihr kriegt was ihr verdient! 😇😬 ★ vs. @RudelrockerRene [ IPL S02/ST07 ],sheet_url_in_video_description_never_fetched
15-GhSdRGAN8KINUVS7puCg_jqy4Cis1NLJC-xygdo8s,available,IPL S3 Liga 2,https://docs.google.com/spreadsheets/d/15-GhSdRGAN8KINUVS7puCg_jqy4Cis1NLJC-xygdo8s/edit,ucarerejf2zazibztti4vmaw;ucshfh4ogh23gfshxfifvcja;ucxw9kufbp4az1uppsfgtolw;ucyevwqnpmkcyqlucnzerdaa;ucz2bgm4qej7nxsedsnr6f1a,Mit ALLEN WASSERN gewaschen | IPL [S3] Liga 1 | Spieltag 7 Vs. @MiauzGenauPodcast,sheet_url_in_video_description_never_fetched
1VrZKK00dpFnzPVLMzdlfQK9DjPKw5jU7QK-ky1TQ1yg,available,IPL S4 Liga 1,https://docs.google.com/spreadsheets/d/1VrZKK00dpFnzPVLMzdlfQK9DjPKw5jU7QK-ky1TQ1yg/edit,ucarerejf2zazibztti4vmaw;ucdlntuh7cgkz5dyhnsy1yvw;uckeehak_dpei11ykalqczrq;ucshfh4ogh23gfshxfifvcja;ucxw9kufbp4az1uppsfgtolw;ucyevwqnpmkcyqlucnzerdaa,FRAG NICHT WELCHES SETUP? CURSE UP! | IPL [S4] Liga 2 | Spieltag 7 Vs @bewearofsaski,sheet_url_in_video_description_never_fetched
1ZC_xbj_1QC_CWhQyO-Noa5EdjY9ZyoWiG2vO2XbUI7M,available,IPL S4 Liga 2,https://docs.google.com/spreadsheets/d/1ZC_xbj_1QC_CWhQyO-Noa5EdjY9ZyoWiG2vO2XbUI7M/edit,ucarerejf2zazibztti4vmaw;ucdlntuh7cgkz5dyhnsy1yvw;uckeehak_dpei11ykalqczrq;ucshfh4ogh23gfshxfifvcja;ucxw9kufbp4az1uppsfgtolw;ucyevwqnpmkcyqlucnzerdaa,FRAG NICHT WELCHES SETUP? CURSE UP! | IPL [S4] Liga 2 | Spieltag 7 Vs @bewearofsaski,sheet_url_in_video_description_never_fetched
1r0r7SPPNzQrFzhUIv9ie29txrGcriqqLkRskEMgztJo,available,ISPL S3,https://docs.google.com/spreadsheets/d/1r0r7SPPNzQrFzhUIv9ie29txrGcriqqLkRskEMgztJo/edit,ucubgus9lvyrtb849adla1rw,ISPL - Season 03 - Spieltag 08 - vs DerNickzisst - Ach Mama Ach,sheet_url_in_video_description_never_fetched
1SsM6z5mCZwAzQ-P7Si-ujHqDPEYCTnCF__6wJ5wVCyk,available,Killrangliste BDT Season 4,https://docs.google.com/spreadsheets/d/1SsM6z5mCZwAzQ-P7Si-ujHqDPEYCTnCF__6wJ5wVCyk/edit,ucarerejf2zazibztti4vmaw,"BDT [S4] - Spieltag 13 - vs. SoulStealer: Er ächtet, er schlächtet, er tectet!",sheet_url_in_video_description_never_fetched
13VnECCe8O2UL0E8GcuCcuUhqsUNIJnD9InWyLa9jUKU,available,Knock Off - SML,https://docs.google.com/spreadsheets/d/13VnECCe8O2UL0E8GcuCcuUhqsUNIJnD9InWyLa9jUKU/edit,ucvciqcejxirj1kgswdxgqyw,Knock Off - SML - Fazit!,sheet_url_in_video_description_never_fetched
1cN8lgSI6gbU7RiX9NafK7c4GyQt-ypSd98wSJy8oHyY,available,Knock Off - SML 2,https://docs.google.com/spreadsheets/d/1cN8lgSI6gbU7RiX9NafK7c4GyQt-ypSd98wSJy8oHyY/edit,ucarerejf2zazibztti4vmaw;ucvciqcejxirj1kgswdxgqyw,"""Vom Drachen zum Wetterfrosch"" - [Knock Off SML] - Spieltag 4 vs. Simsala Grimmsnarl /w Ares",sheet_url_in_video_description_never_fetched
1_NAm8bXbIexnSKH_mBuGxPltAboiRhgLDeCpXpxRRgg,available,Kopie von Liga 2 Pickübersicht,https://docs.google.com/spreadsheets/d/1_NAm8bXbIexnSKH_mBuGxPltAboiRhgLDeCpXpxRRgg/edit,ucgjopll_4nritmusnmk_9zg,German Pokémon League [GPL] Season 5 - Liga 1 & Liga 2 Draft!,sheet_url_in_video_description_never_fetched
1Gzk1ELezN0c0646a8gFE-aRZiKUg_1InQJK2-x3jAZM,available,L1 - SML - S3,https://docs.google.com/spreadsheets/d/1Gzk1ELezN0c0646a8gFE-aRZiKUg_1InQJK2-x3jAZM/edit,ucj8y8nmqyyvuw8wooibgp0g;ucubgus9lvyrtb849adla1rw;uczftb8_k3nwlilr5x7q_org,🔹DER PLAY! • SML [S3] • Spieltag 1 • vs. Gibs Mir Duggy 🔹,sheet_url_in_video_description_never_fetched
1EpL4nDDH8l_-itq1cr6gs7c9i0fB7YVOrtZFFNGpwx0,available,L2 - SML - S3,https://docs.google.com/spreadsheets/d/1EpL4nDDH8l_-itq1cr6gs7c9i0fB7YVOrtZFFNGpwx0/edit,uczftb8_k3nwlilr5x7q_org,Es geht wieder los!  SML S3 Spieltag #02 // vs Olle Oldenburger,sheet_url_in_video_description_never_fetched
1W0art99HjpcSYAWP8VJCjMzAz7EPQdFKZilugbvLmag,available,Legendary Pokémon Plateau - [S2],https://docs.google.com/spreadsheets/d/1W0art99HjpcSYAWP8VJCjMzAz7EPQdFKZilugbvLmag/edit,uc0tnejt5pvgm2_dm_pxj21w;uc9yqk42jqgnwyjczcpmgedq;ucgjopll_4nritmusnmk_9zg;uckgdtvvwnwu2medumv1v4pq;ucubgus9lvyrtb849adla1rw;ucwpw7yn2wcg1sek_09viuhg;ucyevwqnpmkcyqlucnzerdaa;ucz2bgm4qej7nxsedsnr6f1a,Als die GLURAKNATION TIMO den KRIEG ERKLÄRTE... - LPP [S2] FINALE vs. Space Jam,sheet_url_in_video_description_never_fetched
1ZpPF_ZtxVPQPndiyXWb7bPIy6i03Tc3I1Afa7GgzP0w,available,LHL S2,https://docs.google.com/spreadsheets/d/1ZpPF_ZtxVPQPndiyXWb7bPIy6i03Tc3I1Afa7GgzP0w/edit,ucdgmk4tcz2k7kftc2c6gzeg,Nicht schon wieder der... | LHL Playoffs,sheet_url_in_video_description_never_fetched
1Xw0m2kYqH5Pu8eUbZT-SpKE2QXSmWfb8RqKwKvwc6ZI,available,Little Cup Tier List [MLBL],https://docs.google.com/spreadsheets/d/1Xw0m2kYqH5Pu8eUbZT-SpKE2QXSmWfb8RqKwKvwc6ZI/edit,ucyevwqnpmkcyqlucnzerdaa,MLBL - Spieltag 9 - vs. Welcome to the Scragyard: Wer ist hier der wahre Gegner?,sheet_url_in_video_description_never_fetched
145qSaJoMOBqy3gQBLIXC-sH8E55Jhbuh07JaOEhnsBg,available,LoS Tabelle,https://docs.google.com/spreadsheets/d/145qSaJoMOBqy3gQBLIXC-sH8E55Jhbuh07JaOEhnsBg/edit,uc48cbia653yo2bhiowagjwq,League of Showdown Spieltag 14 vs Raping Tentacruels,sheet_url_in_video_description_never_fetched
1vxF6rmARQ_EGBVkZ7nnvZzJdS6vG0_nACy7Bm0C23N8,available,LWA S4 ,https://docs.google.com/spreadsheets/d/1vxF6rmARQ_EGBVkZ7nnvZzJdS6vG0_nACy7Bm0C23N8/edit,ucarerejf2zazibztti4vmaw,"""Antidiabetikum gefällig?"" - LWA [S4] - Spieltag 2 vs. King K. Krookodile",sheet_url_in_video_description_never_fetched
1CAAR-z3w44jYacB_FMjNaoDJ4XlM89xS6TegrChFwdU,available,MDL (der offiziellig),https://docs.google.com/spreadsheets/d/1CAAR-z3w44jYacB_FMjNaoDJ4XlM89xS6TegrChFwdU/edit,ucarerejf2zazibztti4vmaw,MDL S4 - Top Plays - Spieltag #2,sheet_url_in_video_description_never_fetched
1OpjS6y6UlW5Tp5q-47SkUKoCYM7RYHDw0uJcO1orDms,available,MDL S2 Doc,https://docs.google.com/spreadsheets/d/1OpjS6y6UlW5Tp5q-47SkUKoCYM7RYHDw0uJcO1orDms/edit,uc14hk73g_dl8dqlthpmivwq,[MDL S2] » Die 3% HÜRDE! » Spieltag 3 vs Treecko Squad,sheet_url_in_video_description_never_fetched
