


,,,,,Akatsuki Amphibianz,,,,,,,,,,,,,,,Wins:   3,,,,,,,,Soulblaze,,,,,,,,,,,,,,,Wins:   7
,,,,,Barry D. Sin of Speed,,,,,,,,,,,,,,,,,,,,,,,Present
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 11,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,,,W,L,L,L,L,L,L,L,W,L,L,W,L,L,,,,,,,,,,L,L,W,W,W,W,W,W,L,W,L,L,L,L
,Platz 8,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 5,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,A,Durengard,,60,,0,1,,1,1,0,,0,,2,2,,0,2,10,9,"0,90",,A,Demeteros-I,,101,,1,,0,,3,1,2,5,0,1,,1,1,0,11,15,"1,36"
,A,Masskito,,79,,,,,,,,,3,0,0,,,,,3,3,"1,00",,A,Volcanion,,70,,,,0,0,1,0,,,,,0,,0,,6,1,"0,17"
,B,Branawarz,,74,,1,1,0,0,0,1,,0,0,,0,0,1,,11,4,"0,36",,B,Zarude,,105,,,,,,,,,,1,,2,0,2,5,5,10,"2,00"
,B,Fruyal,,72,,,1,1,0,,0,1,,,,,,,0,6,3,"0,50",,B,UHaFnir,,123,,,1,0,,,1,,,0,0,1,,,,6,3,"0,50"
,B,Smogmog,,60,,,,,,,,,,0,0,0,1,,0,5,1,"0,20",,B,Nidoqueen,,76,,1,1,,1,1,,1,1,,,1,0,,,8,7,"0,88"
,C,Kicklee,,87,,,,2,,,3,,,,0,,,,,3,5,"1,67",,C,Bronzong,,33,,4,0,,2,,,1,0,0,2,,,,1,8,10,"1,25"
,   D ,Schlurplek,,50,,0,,,0,0,,,,,,1,0,,,5,1,"0,20",, D ,Pantimos,,90,,,,,,,,,,,,,,,,0,0
, D ,Voltenso,,105,,,,,,,,,,,,,2,0,,2,2,"1,00",, D ,Miltank,,100,,,,,,,,,,,0,,,1,,2,1,"0,50"
,Out,Keifel,,50,,,,,,,,0,,,,,,,,1,0,"0,00",,Out,Rotom,,91,,,,,,,,0,,,,,,,,1,0,"0,00"
,Out,Mimigma,,96,,,,,,,,,,,,,,,,0,0,,,Out,Irokex,,58,,,,,,1,,,,,,,,,,1,1,"1,00"
,Out,,,,,,,,,,,,,,,,,,,0,0,,,Out,,,,,,,,,,,,,,,,,,,0,0
,Out,Cerapendra,,112,,,,1,,,,1,,,,,,,,2,2,"1,00",,Out,,,,,,,,,,,,,,,,,,,0,0

,,,,,Scherzkekse,,,,,,,,,,,,,,,Wins:   9,,,,,,,,Voltwizards,,,,,,,,,,,,,,,Wins:   7
,,,,,Dauni Daunstar,,,,,,,,,,,,,,,,,,,,,,,Blocki
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 5,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,,,W,W,L,W,W,W,W,L,W,L,L,L,W,W,,,,,,,,,,W,W,W,L,L,W,L,L,L,L,L,W,W,W
,Platz 3,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 2,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,S,Demeteros-T,,91,,2,2,0,0,0,1,4,0,,1,0,0,1,1,13,12,"0,92",,S,Gortrom,,85,,1,0,0,2,1,0,2,0,0,,,,4,0,11,10,"0,91"
,S,Latios,,110,,,,,,,,,2,2,,3,3,0,1,6,11,"1,83",,S,Heatran,,77,,0,1,0,0,1,1,1,,0,1,0,0,0,1,13,6,"0,46"
,A,Liberlo,,119,,1,0,2,3,2,2,,1,,,2,1,1,,10,15,"1,50",,A,Grebbit,,78,,,,,,,,,1,0,1,1,2,,0,6,5,"0,83"
,A,Meistagrif,,45,,,,2,2,3,0,,,1,1,,,,,6,9,"1,50",,A,Keldeo,,108,,0,,5,0,0,,0,,0,1,0,1,1,1,11,9,"0,82"
,A,Krarmor,,67,,,,,,,,,0,1,,0,0,0,0,6,1,"0,17",,A,Raikou,,115,,0,0,1,,1,0,,,0,0,0,2,1,2,11,7,"0,64"
,B,Milotic,,81,,2,0,0,0,1,,0,0,1,2,0,0,0,2,13,8,"0,62",,B,Iksbat,,130,,0,1,0,0,,,0,0,,,,0,0,,8,1,"0,13"
,B,Riffex-Hoch,,75,,,,,,,,,,1,1,,0,4,1,5,7,"1,40",,B,Selfe,,95,,,,,,,,,0,0,0,0,1,0,,6,1,"0,17"
,B,Piepi,,35,,,,,1,,,,,,,0,,,,2,1,"0,50",,B,Curelei,,100,,5,,,,,5,0,,,,0,,,2,5,12,"2,40"
,C,Piondragi,,95,,1,,1,,,,1,1,,,,,,1,5,5,"1,00",,C,Zobiris,,50,,,,,,0,,,,,,,,,,1,0,"0,00"
,C,Togedemaru,,96,,,0,,,,,,,,,,,,,1,0,"0,00",,C,Sniebel,,115,,,,,,,,,1,,0,,,,,2,1,"0,50"
, D ,Somnivora,,29,,,,,,,,,,0,,,,,,1,0,"0,00",, D ,Skuntank,,84,,,,,,,,,0,,,,,,,1,0,"0,00"
,Out,Kaguron,,61,,0,1,,0,0,0,1,,,,,,,,6,2,"0,33",,Out,Tandrak,,44,,,4,,0,,0,,,,,,,,,3,4,"1,33"
,Out,Kabutops,,80,,,,,,,0,,,,,,,,,1,0,"0,00",,Out,Kangama,,90,,,0,,,,,,,,,,,,,1,0,"0,00"
,Out,Zytomega,,30,,,3,,,0,3,0,,,,,,,,4,6,"1,50",,Out,Morbitesse,,65,,,,,,,,,,,,,,,,0,0
,Out,Porygon-Z,,90,,0,,0,,,,0,,,,,,,,3,0,"0,00",,Out,Mamutel,,80,,,,0,0,0,0,1,,,,,,,,5,1,"0,20"
