,,,,,,,,,,,,,,,,,,,,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10
,Spieltag 7,9,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 8,9,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 9,9,,,,#VALUE!,,:,,#VALUE!
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
,Spieltag 7,10,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 8,10,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 9,10,,,,#VALUE!,,:,,#VALUE!

,,,,,,Einzelkampf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGC,,,,,,,,,,,,,Einzelkampf




,,,,,Spieltag 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spieltag 11,,,,,,,,,,,,,Spieltag 12

,,,,,,Sonntag - 07.12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonntag - 14.12.25,,,,,,,,,,,,,Sonntag - 21.12.25
,Spieltag 10,1,Spieltag 10Blocki vs RobinVGC,,,Blocki,,:,,RobinVGC,,,,,,,,,,,,,,,,,,,,,Spieltag 11,1,Spieltag 11RobinVGC vs Domji,,,RobinVGC,,:,,Domji,,,,Spieltag 12,1,Spieltag 12Pokgalaxy vs King Blex,,,Pokgalaxy,,:,,King Blex
,,,#N/A,,,Sicht von Blocki,12 Uhr,,,Sicht von RobinVGC,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Robin,12 Uhr,,,Sicht von Domji,,,,,,#N/A,,,Sicht von Pokgalaxy,12 Uhr,,,Sicht von King Blex
,Spieltag 10,2,Spieltag 10Sirazoa vs Present,,,Sirazoa,,:,,Present,,,,,,,,,,,,,,,,,,,,,Spieltag 11,2,Spieltag 11Raizor vs Blocki,,,Raizor,,:,,Blocki,,,,Spieltag 12,2,Spieltag 12Bene vs Present,,,Bene,,:,,Present
,,,#N/A,,,Sicht von Sirazoa,13 Uhr,,,Sicht von Present,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Raizor,13 Uhr,,,Sicht von Blocki,,,,,,#N/A,,,Sicht von Bene ,13 Uhr,,,Sicht von Present
,Spieltag 10,3,Spieltag 10Pokgalaxy vs Nestfloh,,,Pokgalaxy,,:,,Nestfloh,,,,,,,,,,,,,,,,,,,,,Spieltag 11,3,Spieltag 11Nestfloh vs Sirazoa,,,Nestfloh,,:,,Sirazoa,,,,Spieltag 12,3,Spieltag 12Minetube vs Domji,,,Minetube,,:,,Domji
