
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Despotar,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grandiras,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stalobor,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milotic,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traunfugil,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panzaeron,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curelei,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Affiti,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mew,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxiquak,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maskagato,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katapuldra,unfilled
