

,33,Latios,von ,RobinVGC,,1,0,2,1,,0,,,4,0,,0,0,0,,,,8,9,"0,89"
,33,Fatalitcha,von ,RobinVGC,,4,1,0,0,0,0,,0,,2,,1,0,0,,,,8,10,"0,80"
,33,Lavados,von ,Nestfloh,,,,0,,1,,0,4,,,,1,2,,,,,8,6,"1,33"
,38,Mew,von ,Minetube,,1,,,0,,0,0,2,,1,1,,2,,,,,7,7,"1,00"
,38,Zapdos,von ,Dauni,,,1,1,2,,0,0,0,1,1,,1,0,,,,,7,10,"0,70"
,38,Deoxys-Geschwindigkeit,von ,Bene,,,3,,0,1,,0,1,0,0,0,0,2,,,,,7,10,"0,70"
,38,Granforgita,von ,Bene,,0,0,0,4,,,,0,0,,,,3,,,,,7,6,"1,17"
,38,Rabigator,von ,RobinVGC,,0,,0,,0,,,6,0,,0,1,0,,,,,7,7,"1,00"
,43,Crimanzo,von ,Dauni,,,,1,,,0,1,,,,0,4,,,,,,6,5,"1,20"
,43,Vesprit,von ,Dauni,,0,,3,,1,,,1,,,1,0,,,,,,6,5,"1,20"
,43,Ursaring,von ,Nestfloh,,5,,0,,,,,,,,,1,,,,,,6,2,"3,00"
,46,Curelei,von ,Minetube,,,3,1,,,,,,0,,,0,,,,1,,5,5,"1,00"
,46,Zoroark,von ,Raizor,,,,,,,,,,,,,,,1,3,1,,5,3,"1,67"
,46,Cupidos-Therian,von ,Raizor,,0,1,0,4,,,,,,,0,,,,,,,5,4,"1,25"
,46,Alola-Snobilikat,von ,Raizor,,,,,0,1,0,,2,1,1,,0,,,,,,5,7,"0,71"
,46,Horrerba,von ,Present,,,,,,,,,,,,,,,,,5,,5,1,"5,00"
,46,Volcanion,von ,Bene,,,,,,,,,,,,,,,2,,3,,5,2,"2,50"
,46,Bailonda,von ,Bene,,1,,0,,0,,0,,2,1,,,1,,,,,5,6,"0,83"
,46,Registeel,von ,RobinVGC,,4,,,,,,0,,1,,0,,,,,,,5,3,"1,67"
,46,Cupidos,von ,RobinVGC,,,,0,0,1,,0,0,1,,1,,2,,,,,5,8,"0,63"
,46,Cresselia,von ,Nestfloh,,0,1,,,2,0,,,,0,2,0,,,,,,5,6,"0,83"
,56,Entei,von ,Raizor,,,,,,3,,0,1,,0,,,0,,,,,4,5,"0,80"
,56,Dragoran,von ,Present,,0,,0,,1,2,,,,,,1,0,,,,,4,5,"0,80"
,56,Zytomega,von ,Present,,0,0,,0,,,,,,1,,0,3,,,,,4,5,"0,80"
