
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,4,Grandiras,von,Minetube,,GPL,,5,,3,3,,0,,,0,0,,1,12,,Throes Mad,"11,993","11,99302",,,,,,,,,Grandiras,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,5,Stalobor,von,Minetube,,GPL,,0,0,,2,1,2,1,0,0,0,,0,6,,Throes Mad,"5,99","5,99002",,,,,,,,,Stalobor,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,6,Milotic,von,Minetube,,GPL,2,,2,,0,2,,5,0,,,1,0,12,,Throes Mad,"11,992","11,99203",,,,,,,,,Milotic,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,7,Panzaeron,von,Minetube,,GPL,1,,0,,0,3,2,0,,,0,4,,10,,Throes Mad,"9,992","9,99203",,,,,,,,,Panzaeron,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,8,Curelei,von,Minetube,,GPL,,3,1,,,,,,0,,,0,,4,,Throes Mad,"3,996","3,99603",,,,,,,,,Curelei,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,9,Affiti,von,Minetube,,GPL,,,,0,,,,,,,,1,,1,,Throes Mad,"0,998","0,99804",,,,,,,,,Affiti,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,10,Toxiquak,von,Minetube,,GPL,,0,0,,,1,,0,0,4,,1,2,8,,Throes Mad,"7,992","7,99204",,,,,,,,,Toxiquak,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,11,Traunfugil,von,Minetube,,GPL,0,,,1,0,,,,,,,1,,2,,Throes Mad,"1,996","1,99605",,,,,,,,,Traunfugil,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Katapuldra,von,Nestfloh,,GPL,1,2,1,0,0,1,4,0,0,0,2,,1,12,,Böller Brüder,"11,988","11,98801",,,,,,,,,Katapuldra,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,2,Lumiflora,von,Nestfloh,,GPL,,,1,3,,5,0,2,2,,2,1,0,16,,Böller Brüder,"15,991","15,99101",,,,,,,,,Lumiflora,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,3,Impoleon,von,Nestfloh,,GPL,0,,,0,1,0,,0,0,,0,,,1,,Böller Brüder,"0,993","0,99302",,,,,,,,,Impoleon,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,4,Pamomamo,von,Nestfloh,,GPL,0,,,0,0,,1,1,0,0,0,0,0,2,,Böller Brüder,"1,99","1,99002",,,,,,,,,Pamomamo,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,,5,Cresselia,von,Nestfloh,,GPL,0,1,,,2,0,,,,0,2,0,,5,,Böller Brüder,"4,993","4,99302",,,,,,,,,Cresselia,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
