
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,128,,Horrerba,von,Pokgalaxy,,GPL,,,,0,0,,,,0,1,,0,,1,,Tails of Mystery,"0,995","0,99504",,,,,,,1,,Riffex,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Zobiris,von,Dauni,,GPL,,,,0,,0,,1,,0,,0,,1,,Pfundskerle,"0,995","0,99503",,,,,,,1,,Kolowal,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Florges,von,Snomnie,,GPL,0,,1,0,,,0,0,,,,,,1,,Corvi Crushers,"0,995","0,99503",,,,,,,1,,Chimstix,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Aquana,von,Sirazoa,,GPL,,,0,0,0,,0,,,,1,,0,1,,Eon Engine,"0,994","0,99403",,,,,,,1,,Skorgla,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Piepi,von,OGDeniz96,,GPL,0,,,0,,0,,0,,1,0,0,,1,,Squid Squad,"0,993","0,99304",,,,,,,1,,Morpeko,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Impoleon,von,Nestfloh,,GPL,0,,,0,1,0,,0,0,,0,,,1,,Böller Brüder,"0,993","0,99302",,,,,,,1,,Ogerpon-Wasser,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Giflor,von,Bene,,GPL,,,,,,,,,,,,,,0,,Wackel Backel,0,"0,00005",,,,,,,1,,Liberlo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Rameidon,von,Pokgalaxy,,GPL,,,,,,,,,,,,,,0,,Tails of Mystery,0,"0,00005",,,,,,,1,,Trikephalo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Kronjuwild,von,RobinVGC,,GPL,,,,,,,,,,,,,,0,,Choice Bandits,0,"0,00005",,,,,,,1,,Infamomo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Pokusan,von,King Blex,,GPL,,,,,,0,,,,,,,,0,,Cyber End Jugulis,"-0,001","-0,00096",,,,,,,1,,Regieleki,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Gewaldro,von,Domji,,GPL,,,,,,,0,,,,,0,,0,,Shining Legends,"-0,002","-0,00195",,,,,,,1,,Florges,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Morpeko,von,Sirazoa,,GPL,0,,,,,0,,,,,,,,0,,Eon Engine,"-0,002","-0,00195",,,,,,,1,,Schlurm,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Rotom,von,Blocki,,GPL,,,0,,0,,,,,,0,,,0,,Kastanienbomber,"-0,003","-0,00296",,,,,,,1,,Meloetta,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Bandelby,von,Domji,,GPL,0,0,,0,0,,,,,0,,,,0,,Shining Legends,"-0,005","-0,00497",,,,,,,1,,Golgantes,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Tentoxa,von,King Blex,,GPL,,,0,0,,0,0,,,,,0,0,0,,Cyber End Jugulis,"-0,006","-0,00597",,,,,,,1,,Arktos,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,Servol-w,von,Raizor,,GPL,,0,,0,,0,,0,0,0,,0,,0,,Unbound Soul,"-0,007","-0,00698",,,,,,,1,,Nockchan,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
,145,,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,155,,,von,,,,,,,,,,,,,,,-100
