,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
32,Fuegro,,10,7,"0,70",,1,1,1,0,2,,1,0,0,0,,1,,,Prekani,https://www.youtube.com/user/Present,"7,0007"
37,Metagross,,9,6,"0,67",0,,2,1,,,0,0,1,1,1,,,0,,Prekani,https://www.youtube.com/user/Present,"6,000666667"
70,Monargoras,,4,2,"0,50",,,,,,,,,0,,1,0,,1,,Prekani,https://www.youtube.com/user/Present,"2,0005"
98,Keifel,,5,0,"0,00",0,0,,0,0,,,,,,,0,,,,Prekani,https://www.youtube.com/user/Present,0
28,Alola-Raichu,,4,7,"1,75",,,,,,,,2,,,1,1,3,,,Prekani,https://www.youtube.com/user/Present,"7,00175"
98,Piondragi,,2,0,"0,00",,,,,,,,,,0,,,0,,,Prekani,https://www.youtube.com/user/Present,0
56,Fletiamo,,2,3,"1,50",,,,3,,,,,0,,,,,,,Prekani,https://www.youtube.com/user/Present,"3,0015"
47,Voltolos-T,,5,4,"0,80",0,2,,,0,0,2,,,,,,,,,Prekani,https://www.youtube.com/user/Present,"4,0008"
81,Tandrak,,2,1,"0,50",,,0,,,1,,,,,,,,,,Prekani,https://www.youtube.com/user/Present,"1,0005"
45,Krawumms,,3,4,"1,33",,,1,,3,0,,,,,,,,,,Prekani,https://www.youtube.com/user/Present,"4,001333333"
77,Kicklee,,1,1,"1,00",,,,,,,1,,,,,,,,,Prekani,https://www.youtube.com/user/Present,"1,001"
14,Jirachi,,10,10,"1,00",0,0,0,3,,,0,0,,0,1,4,,2,,Arktipico,https://www.youtube.com/user/Hydronic,"10,001"
16,Knakrack,,12,10,"0,83",1,2,,2,1,0,1,,0,1,1,0,0,1,,Arktipico,https://www.youtube.com/user/Hydronic,"10,00083333"
34,Azumarill,,12,7,"0,58",1,1,0,,0,2,1,0,1,0,0,,0,1,,Arktipico,https://www.youtube.com/user/Hydronic,"7,000583333"
65,Masskito,,2,2,"1,00",,,,,,,,0,,,,,,2,,Arktipico,https://www.youtube.com/user/Hydronic,"2,001"
75,Iksbat,,6,2,"0,33",0,,0,0,1,,,1,,,0,,,,,Arktipico,https://www.youtube.com/user/Hydronic,"2,000333333"
36,Porygon-Z,,8,6,"0,75",1,,,1,2,0,,0,0,,,2,0,,,Arktipico,https://www.youtube.com/user/Hydronic,"6,00075"
61,Milotic,,10,3,"0,30",,0,2,0,0,0,0,,1,,0,0,0,,,Arktipico,https://www.youtube.com/user/Hydronic,"3,0003"
57,Sniebel,,4,3,"0,75",,2,1,,,,,,,0,,,0,,,Arktipico,https://www.youtube.com/user/Hydronic,"3,00075"
98,Wolwerock-Tagform,,1,0,"0,00",,,,,,,,,,,,0,,,,Arktipico,https://www.youtube.com/user/Hydronic,0
50,Donarion,,7,4,"0,57",,,,,,,,1,0,1,1,0,0,1,,Arktipico,https://www.youtube.com/user/Hydronic,"4,000571429"
67,Regigigas,,3,2,"0,67",,,,,,,,,1,0,,,,1,,Arktipico,https://www.youtube.com/user/Hydronic,"2,000666667"
96,Rotom-Heat,,6,1,"0,17",0,1,0,0,0,0,,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic,"1,000166667"
63,Moruda,,1,2,"2,00",,,,,,,2,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic,"2,002"
63,Galagladi,,1,2,"2,00",,,,,,,2,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic,"2,002"
77,Schlurplek,,1,1,"1,00",,,,,,1,,,,,,,,,,Arktipico,https://www.youtube.com/user/Hydronic,"1,001"
1,Katapuldra,,14,20,"1,43",1,1,3,2,4,2,1,2,0,0,0,2,2,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"20,00142857"
10,Necrozma,,12,12,"1,00",3,3,0,0,,2,0,2,0,0,0,1,,1,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"12,001"
27,Kapu-Toro,,12,8,"0,67",1,0,0,0,0,1,1,1,0,4,0,0,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"8,000666667"
38,Scherox,,13,6,"0,46",0,0,2,1,0,1,0,1,0,1,,0,0,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"6,000461538"
54,Tentoxa,,11,4,"0,36",0,,1,0,1,0,0,0,1,0,0,,1,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"4,000363636"
93,Clavion,,4,1,"0,25",,,,,,,,,,1,0,0,,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"1,00025"
87,Kosturso,,3,1,"0,33",,,,,,,,,,,0,,0,1,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"1,000333333"
70,Pampross,,4,2,"0,50",,2,,,,,,,0,,,0,0,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"2,0005"
98,Regirock,,1,0,"0,00",,,,,,,,0,,,,,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,0
93,Rotom,,4,1,"0,25",,0,0,,,0,,,,,,,,1,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"1,00025"
98,Fiaro,,2,0,"0,00",,,,,0,,,,,,,,0,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,0
98,Pandagro,,1,0,"0,00",,,,0,,,,,,,,,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,0
98,Boreos-I,,0,0,,,,,,,,,,,,,,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,0
87,Miltank,,3,1,"0,33",1,,,,0,,0,,,,,,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,"1,000333333"
98,,#N/A,0,0,,,,,,,,,,,,,,,,,Elekids Club,https://www.youtube.com/user/ElektechN9ne,0
54,Durengard,,11,4,"0,36",0,1,0,,0,0,2,0,0,,,0,1,0,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"4,000363636"
18,Zapdos,,13,9,"0,69",0,1,0,,0,0,2,0,2,0,3,0,0,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"9,000692308"
62,Lahmus,,13,3,"0,23",0,0,0,0,0,0,0,1,0,,0,1,1,0,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"3,000230769"
9,Nidoking,,9,12,"1,33",,0,4,0,2,1,0,,,2,,2,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"12,00133333"
28,Viscogon,,4,7,"1,75",,,,,,,,,3,,0,,1,3,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"7,00175"
8,Guardevoir,,8,12,"1,50",,,,0,1,4,1,2,,0,,3,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"12,0015"
98,Aranestro,,2,0,"0,00",,,,,,,,,,0,,0,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,0
22,Quartermak,,8,8,"1,00",0,,1,1,,1,,0,,1,2,,2,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"8,001"
98,Aerodactyl,,1,0,"0,00",,,,0,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,0
93,Stahlos,,4,1,"0,25",,,,,,,,0,1,,0,,0,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"1,00025"
87,Alola-Snobilikat,,3,1,"0,33",,,,,,,,,0,0,1,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"1,000333333"
98,Chaneira,,3,0,"0,00",0,,0,,0,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,0
87,Zoroark,,3,1,"0,33",0,0,,,,,1,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"1,000333333"
77,Amigento-Drache,,1,1,"1,00",,,,1,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,"1,001"
98,Tangela,,1,0,"0,00",,0,,,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel,0

1,Katapuldra,,14,20,"1,43",1,1,3,2,4,2,1,2,0,0,0,2,2,0,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
2,Krebutack,,7,14,"2,00",1,,2,,,0,5,2,,,,,3,1,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
3,Terrakium,,8,14,"1,75",0,1,,3,1,,3,3,,,0,,3,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
4,Mamutel,,10,14,"1,40",,1,2,0,,,1,,4,1,2,1,0,2,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
5,Zeraora,,7,13,"1,86",,,,,,,,2,2,4,0,0,3,2,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
6,Kapu-Riki,,12,13,"1,08",0,3,1,1,0,1,0,1,2,1,1,2,,,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
7,Demeteros-T,,14,13,"0,93",1,1,3,1,2,0,1,1,1,1,0,0,1,0,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
8,Guardevoir,,8,12,"1,50",,,,0,1,4,1,2,,0,,3,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
9,Nidoking,,9,12,"1,33",,0,4,0,2,1,0,,,2,,2,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
10,Necrozma,,12,12,"1,00",3,3,0,0,,2,0,2,0,0,0,1,,1,,Elekids Club,https://www.youtube.com/user/ElektechN9ne
11,Kopplosio,,8,11,"1,38",,0,1,2,,,0,1,0,,6,1,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
12,Snibunna,,13,11,"0,85",0,3,1,2,0,1,1,0,0,1,1,1,,0,,Pillar Mons,https://www.youtube.com/user/RegiBang
13,Krarmor,,6,10,"1,67",,,,,,,,0,6,,2,1,1,0,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
14,Jirachi,,10,10,"1,00",0,0,0,3,,,0,0,,0,1,4,,2,,Arktipico,https://www.youtube.com/user/Hydronic
14,Kyurem,,10,10,"1,00",6,,1,,0,0,0,1,,1,,0,0,1,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
16,Knakrack,,12,10,"0,83",1,2,,2,1,0,1,,0,1,1,0,0,1,,Arktipico,https://www.youtube.com/user/Hydronic
17,Gortrom,,9,9,"1,00",3,0,,1,3,,0,0,2,,,0,,0,,Prekani,https://www.youtube.com/user/Present
18,Primarene,,13,9,"0,69",1,0,1,0,0,1,1,3,,1,1,0,0,0,,Prekani,https://www.youtube.com/user/Present
18,Zapdos,,13,9,"0,69",0,1,0,,0,0,2,0,2,0,3,0,0,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
20,Deponitox,,4,8,"2,00",2,,,,2,3,1,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
21,Meistergrif,,6,8,"1,33",,,,,,,,,2,0,2,1,2,1,,Prekani,https://www.youtube.com/user/Present
22,Quartermak,,8,8,"1,00",0,,1,1,,1,,0,,1,2,,2,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
23,Boreos-T,,9,8,"0,89",2,1,1,,,0,0,0,,2,,,0,2,,Prekani,https://www.youtube.com/user/Present
23,Kobalium,,9,8,"0,89",,1,1,2,2,,0,,0,1,1,0,,,,Glückspilze,https://www.youtube.com/user/DauniDaunstar
23,UHaFniR,,9,8,"0,89",0,2,,1,1,,,0,2,1,0,,,1,,Victini Bottom,https://www.youtube.com/user/FullLifeGames
